,id,pred
0,36,1.2
1,2157,1.0
2,9385,1.0
3,14434,1.4
4,9462,0.6
5,5773,1.0
6,11975,1.0
7,10047,1.2
8,9595,0.2
9,12085,0.4
10,10423,0.2
11,5353,1.2
12,1967,1.2
13,7192,1.4
14,13483,0.4
15,8158,1.0
16,1482,1.4
17,5833,0.8
18,5276,1.8
19,12541,1.0
20,14694,0.4
21,11505,0.8
22,3948,1.4
23,12175,1.2
24,108,1.0
25,2520,1.0
26,11334,0.6
27,9535,1.4
28,9788,0.2
29,3217,1.2
30,9102,1.2
31,8059,0.8
32,2340,1.0
33,5727,0.4
34,13074,1.0
35,13058,2.2
36,12524,0.4
37,13919,0.8
38,1135,0.6
39,2266,0.6
40,13837,1.5
41,312,1.0
42,5129,1.0
43,333,0.6
44,9710,1.0
45,4895,0.8
46,12948,1.0
47,9748,0.8
48,10713,1.4
49,11130,0.4
50,7685,0.6
51,14382,0.6
52,1622,0.4
53,9747,1.2
54,6176,0.6
55,8001,1.2
56,3843,1.6
57,5369,1.4
58,4013,0.8
59,7189,1.0
60,6627,0.6
61,1531,1.0
62,7872,0.6
63,7822,0.6
64,7939,0.6
65,11694,0.8
66,12404,1.2
67,11477,0.6
68,10036,1.7
69,8673,1.2
70,13663,0.6
71,158,1.2
72,12270,0.6
73,4775,0.6
74,10732,0.2
75,12761,1.0
76,11443,1.0
77,14024,0.2
78,1456,0.6
79,15040,1.4
80,1777,1.0
81,5176,1.2
82,10217,0.4
83,14211,0.8
84,11805,1.0
85,1332,0.4
86,2539,0.0
87,12008,0.2
88,219,0.4
89,3415,1.4
90,9014,0.8
91,2606,1.0
92,3913,0.8
93,1811,0.8
94,500,1.0
95,14528,1.2
96,3045,0.6
97,4740,1.2
98,13532,0.2
99,5973,1.2
100,1524,1.4
101,6710,1.2
102,10824,1.0
103,2242,1.0
104,13571,0.4
105,14078,0.4
106,14089,0.0
107,4511,0.8
108,14168,1.0
109,9406,0.4
110,513,0.4
111,3346,0.2
112,8857,1.4
113,2470,0.6
114,3497,0.6
115,13452,1.0
116,5450,0.8
117,5340,1.0
118,10909,1.2
119,12419,0.8
120,1393,2.2
121,14390,0.8
122,2721,1.2
123,2093,0.6
124,8024,0.0
125,8759,0.4
126,6275,0.8
127,6465,1.0
128,4041,1.4
129,10700,1.4
130,11312,1.4
131,5533,1.2
132,4905,1.0
133,3094,0.6
134,8732,0.2
135,13789,0.4
136,4064,1.6
137,7358,0.8
138,8580,1.2
139,926,1.4
140,13516,0.4
141,11615,0.4
142,1630,0.6
143,6996,0.2
144,3308,0.2
145,6713,0.8
146,9983,0.8
147,11869,1.2
148,8366,1.0
149,13751,0.8
150,1832,1.0
151,14756,0.6
152,10385,1.2
153,12411,0.4
154,8478,0.6
155,6267,0.2
156,11803,0.4
157,3744,0.4
158,10541,1.4
159,5642,1.2
160,12459,0.6
161,2660,1.4
162,8975,1.4
163,193,1.0
164,11779,1.0
165,5337,0.0
166,12817,1.4
167,6310,0.2
168,10836,1.0
169,9078,0.2
170,6272,0.6
171,14614,1.0
172,11290,0.6
173,9887,0.6
174,8737,0.2
175,12187,0.6
176,11445,1.0
177,4131,1.2
178,4753,0.4
179,4485,0.0
180,7134,1.2
181,7865,0.2
182,10276,0.6
183,8160,0.6
184,466,0.8
185,10688,1.0
186,14681,0.4
187,14860,0.2
188,392,1.4
189,7028,0.8
190,13586,0.4
191,10890,1.2
192,3362,0.8
193,14593,1.0
194,3981,1.2
195,2860,0.2
196,11826,0.6
197,5633,0.8
198,5202,1.0
199,7501,1.2
200,3597,1.4
201,12210,0.4
202,2685,1.0
203,881,0.8
204,11122,0.4
205,490,1.0
206,2929,1.0
207,14696,0.8
208,11871,0.2
209,14934,0.2
210,10955,0.4
211,14962,0.8
212,10083,1.7
213,5673,0.6
214,83,1.4
215,7556,0.8
216,13273,0.6
217,10149,0.0
218,11095,1.4
219,1580,2.6
220,5083,0.6
221,6351,0.6
222,3331,0.8
223,12975,1.0
224,6704,1.2
225,1113,0.6
226,8619,0.6
227,11920,1.0
228,10263,0.8
229,13812,1.2
230,6065,1.0
231,11247,1.0
232,8377,0.0
233,2074,1.0
234,14723,1.0
235,7992,0.6
236,8808,0.0
237,2962,0.6
238,1657,0.8
239,13560,1.2
240,3021,0.6
241,9941,1.4
242,10034,1.2
243,9457,0.8
244,14097,0.4
245,13754,1.2
246,13772,0.4
247,4262,0.4
248,5189,0.6
249,5570,0.8
250,3436,1.0
251,928,0.8
252,1405,1.4
253,13207,0.0
254,15083,1.2
255,13003,0.8
256,4221,0.2
257,1499,1.0
258,8596,0.8
259,13164,0.6
260,1339,1.0
261,3959,1.2
262,2681,1.2
263,13815,1.2
264,5676,0.6
265,3574,1.0
266,6393,1.0
267,10186,1.0
268,14989,1.0
269,3782,1.0
270,6459,0.8
271,9152,1.4
272,11400,0.8
273,2131,1.0
274,14297,0.6
275,406,1.0
276,10708,0.8
277,13573,1.2
278,4878,0.6
279,6334,1.0
280,3429,1.0
281,260,0.4
282,13596,0.0
283,5822,1.0
284,3945,0.2
285,939,0.8
286,10703,0.4
287,7089,0.2
288,3477,0.8
289,10673,0.0
290,11878,0.6
291,12956,2.0
292,6104,0.4
293,11058,0.0
294,2223,0.4
295,3330,1.2
296,13253,1.6
297,669,0.6
298,6371,0.6
299,14171,0.8
300,14413,0.6
301,13262,0.4
302,2615,0.6
303,995,0.6
304,10850,0.8
305,2851,1.0
306,1629,1.0
307,7835,1.0
308,2145,1.4
309,986,1.6
310,7306,1.6
311,11757,0.6
312,9695,0.4
313,5442,0.6
314,2944,0.4
315,2100,1.2
316,13248,0.8
317,12555,0.8
318,10544,0.8
319,1577,1.6
320,12799,1.0
321,11618,1.0
322,14678,0.8
323,3607,0.0
324,14227,0.6
325,14038,0.4
326,6453,0.6
327,9587,1.0
328,6649,0.2
329,5279,1.0
330,2998,0.6
331,13283,1.2
332,13485,1.4
333,9960,1.0
334,4168,0.6
335,10669,0.4
336,5304,0.6
337,2115,1.6
338,2534,0.8
339,6361,0.8
340,9021,0.4
341,1002,0.6
342,12908,0.8
343,1009,0.6
344,3049,0.4
345,1081,0.2
346,6842,0.6
347,7592,0.0
348,4436,0.4
349,9583,0.6
350,4901,1.0
351,13597,1.4
352,12886,1.0
353,2940,0.8
354,1262,0.8
355,13643,0.4
356,7221,0.6
357,2768,0.8
358,416,0.6
359,9092,0.6
360,10993,0.6
361,3779,0.6
362,9031,0.6
363,5602,0.6
364,8210,0.8
365,12432,1.0
366,8045,0.2
367,652,1.2
368,7640,0.8
369,3469,0.6
370,4263,0.4
371,2060,1.0
372,10832,0.8
373,4099,1.0
374,2118,1.2
375,3620,0.4
376,6287,0.6
377,5953,0.8
378,1879,1.2
379,118,1.6
380,10449,0.8
381,6664,0.6
382,12362,0.6
383,8831,0.6
384,11933,1.2
385,14306,0.2
386,1653,0.2
387,6410,1.2
388,13620,1.0
